and,663
was,565
,481
to,409
the,363
a,307
of,279
in,270
with,252
on,179
at,162
He,149
by,142
EMS,138
for,124
No,124
as,124
had,116
from,110
GCS,105
she,102
after,100
trauma,99
he,96
head,94
She,92
her,90
no,88
patient,87
but,83
Patient,78
Pt,77
when,76
his,75
CT,72
left,67
presents,65
1,65
OSH,64
level,64
that,63
noted,59
or,59
pt,58
not,58
an,54
were,54
transferred,53
here,50
right,49
given,49
reportedly,47
male,46
fell,46
is,46
outside,45
hit,44
en,44
has,43
have,43
healthy,43
other,43
up,42
found,42
presenting,41
further,40
car,40
back,40
where,40
scene,39
ED,38
around,37
prior,36
who,36
then,36
pain.,35
brought,34
Per,33
into,33
transported,33
neck,33
injury,32
him,32
be,31
s/p,31
arrival,31
intubated,30
LOC.,30
female,30
route.,30
being,29
LOC,29
showed,29
via,29
M,28
pain,28
chest,28
reported,27
this,27
over,27
mental,26
which,26
route,26
any,26
arrived,26
out,25
MVC.,25
received,25
been,25
home,24
called,24
2,24
scene.,24
F,24
placed,23
they,23
altered,23
per,23
shot,23
3,23
passenger,22
off,22
unknown,22
15,22
so,22
about,22
Unknown,21
vehicle,21
EMS.,21
Was,21
during,21
another,21
history,21
did,21
fall,21
arrival.,21
initially,20
"LOC,",20
taken,20
side,20
injury.,20
playing,19
R,19
Mom,19
it,19
epi,19
injuries,18
multiple,18
otherwise,18
since,18
evaluation.,18
"EMS,",18
while,17
air,17
became,17
stable,17
seen,17
L,17
head.,17
down,17
time,17
The,16
face,16
transport.,16
date,16
fracture,16
MVC,16
seat,16
mom,16
skull,16
ED.,15
possible,15
reports,15
sustained,15
wound,15
"OSH,",15
onto,15
one,15
status,15
BB,15
struck,15
got,15
blood,15
accident.,15
Seen,15
immunizations.,15
CPR,15
went,14
At,14
states,14
"pain,",14
PMH,14
vs,13
following,13
ATV,13
significant,13
hospital,13
c/o,13
unrestrained,13
occurred,13
There,13
denies,13
started,13
able,13
intubated.,13
vomiting.,13
spine,13
street,12
some,12
upon,12
ran,12
well,12
injuries.,12
speed,12
high,12
breathing,12
episode,12
feet,12
small,12
family,12
restrained,12
unresponsive,12
C-spine,12
4,12
also,12
abdominal,12
approximately,12
there,11
lower,11
C-collar,11
fentanyl,11
mother,11
gun.,11
full,11
"fracture,",11
gun,11
10,11
"vomiting,",11
vitals,11
"scene,",11
En,11
obtained,11
trauma.,11
Previously,11
"head,",10
"ED,",10
here.,10
labs,10
front,10
going,10
They,10
penetrating,10
transfer,10
time.,10
facial,10
moving,10
child,10
fall.,10
laceration,10
chest.,10
given.,10
brother,10
parents,10
GSW,10
IV,10
report,10
doses,10
upper,10
abrasions,10
Injury,10
due,10
currently,9
Mother,9
falling,9
status.,9
acting,9
bike,9
done,9
two,9
vomiting,9
Had,9
unable,9
Non-Accidental,9
neck.,9
few,9
30,9
without,9
I,9
open,9
bleeding,9
vehicle.,9
fracture.,9
sided,9
ground,9
sent,9
if,9
loss,9
immediately,9
minutes,9
Suspected,9
NS,9
large,9
wearing,9
awake,9
came,9
event.,9
"Trauma,",9
bilateral,9
lacerations,9
subdural,9
normal.,8
last,8
pelvis,8
hitting,8
speed.,8
"report,",8
On,8
noted.,8
leg,8
pellet,8
involved,8
complains,8
+LOC.,8
before,8
rounds,8
dirt,8
performed,8
said,8
mph.,8
accident,8
seizure,8
.,8
window,8
frontal,8
dog,8
friend,8
riding,8
PT,8
hours,8
gave,8
information,8
very,8
extremity,8
CXR,8
"chest,",8
baby,8
ago.,7
abdomen.,7
11,7
hand,7
complaints,7
saw,7
normal,7
ago,7
respiratory,7
get,7
Brought,7
OSH.,7
previously,7
C,7
helicopter,7
their,7
button,7
When,7
entire,7
including,7
precautions.,7
Transported,7
Upon,7
transport,7
50,7
cardiac,7
extricated,7
complaining,7
truck,7
&,7
because,7
management.,7
board,7
traveling,7
room,7
rolled,7
took,7
epidural,7
coming,7
known,7
ejected,7
low,7
8,7
fence,7
more,7
collar,7
midline,7
9,7
laceration.,7
extremities.,7
eye,7
house,7
rollover,7
field,7
