,word,count,frequence
0,and,663,0.0378403059186
1,was,565,0.0322470178643
2,,481,0.0274527709606
3,to,409,0.0233434164717
4,the,363,0.0207179955482
5,a,307,0.0175218309457
6,of,279,0.0159237486445
7,in,270,0.0154100793334
8,with,252,0.0143827407111
9,on,179,0.0102163118543
10,at,162,0.00924604760002
11,He,149,0.0085040808173
12,by,142,0.008104560242
13,EMS,138,0.00787626277039
14,for,124,0.00707722161977
15,No,124,0.00707722161977
16,as,124,0.00707722161977
17,had,116,0.00662062667656
18,from,110,0.00627818046915
19,GCS,105,0.00599280862964
20,she,102,0.00582158552594
21,after,100,0.00570743679014
22,trauma,99,0.00565036242224
23,he,96,0.00547913931853
24,head,94,0.00536499058273
25,She,92,0.00525084184693
26,her,90,0.00513669311112
27,no,88,0.00502254437532
28,patient,87,0.00496547000742
29,but,83,0.00473717253581
30,Patient,78,0.00445180069631
31,Pt,77,0.00439472632841
32,when,76,0.0043376519605
33,his,75,0.0042805775926
34,CT,72,0.0041093544889
35,left,67,0.00382398264939
36,presents,65,0.00370983391359
37,1,65,0.00370983391359
38,OSH,64,0.00365275954569
39,level,64,0.00365275954569
40,that,63,0.00359568517779
41,noted,59,0.00336738770618
42,or,59,0.00336738770618
43,pt,58,0.00331031333828
44,not,58,0.00331031333828
45,an,54,0.00308201586667
46,were,54,0.00308201586667
47,transferred,53,0.00302494149877
48,here,50,0.00285371839507
49,right,49,0.00279664402717
50,given,49,0.00279664402717
51,reportedly,47,0.00268249529136
52,male,46,0.00262542092346
53,fell,46,0.00262542092346
54,is,46,0.00262542092346
55,outside,45,0.00256834655556
56,hit,44,0.00251127218766
57,en,44,0.00251127218766
58,has,43,0.00245419781976
59,have,43,0.00245419781976
60,healthy,43,0.00245419781976
61,other,43,0.00245419781976
62,up,42,0.00239712345186
63,found,42,0.00239712345186
64,presenting,41,0.00234004908396
65,further,40,0.00228297471606
66,car,40,0.00228297471606
67,back,40,0.00228297471606
68,where,40,0.00228297471606
69,scene,39,0.00222590034815
70,ED,38,0.00216882598025
71,around,37,0.00211175161235
72,prior,36,0.00205467724445
73,who,36,0.00205467724445
74,then,36,0.00205467724445
75,pain.,35,0.00199760287655
76,brought,34,0.00194052850865
77,Per,33,0.00188345414075
78,into,33,0.00188345414075
79,transported,33,0.00188345414075
80,neck,33,0.00188345414075
81,injury,32,0.00182637977284
82,him,32,0.00182637977284
83,be,31,0.00176930540494
84,s/p,31,0.00176930540494
85,arrival,31,0.00176930540494
86,intubated,30,0.00171223103704
87,LOC.,30,0.00171223103704
88,female,30,0.00171223103704
89,route.,30,0.00171223103704
90,being,29,0.00165515666914
91,LOC,29,0.00165515666914
92,showed,29,0.00165515666914
93,via,29,0.00165515666914
94,M,28,0.00159808230124
95,pain,28,0.00159808230124
96,chest,28,0.00159808230124
97,reported,27,0.00154100793334
98,this,27,0.00154100793334
99,over,27,0.00154100793334
100,mental,26,0.00148393356544
101,which,26,0.00148393356544
102,route,26,0.00148393356544
103,any,26,0.00148393356544
104,arrived,26,0.00148393356544
105,out,25,0.00142685919753
106,MVC.,25,0.00142685919753
107,received,25,0.00142685919753
108,been,25,0.00142685919753
109,home,24,0.00136978482963
110,called,24,0.00136978482963
111,2,24,0.00136978482963
112,scene.,24,0.00136978482963
113,F,24,0.00136978482963
114,placed,23,0.00131271046173
115,they,23,0.00131271046173
116,altered,23,0.00131271046173
117,per,23,0.00131271046173
118,shot,23,0.00131271046173
119,3,23,0.00131271046173
120,passenger,22,0.00125563609383
121,off,22,0.00125563609383
122,unknown,22,0.00125563609383
123,15,22,0.00125563609383
124,so,22,0.00125563609383
125,about,22,0.00125563609383
126,Unknown,21,0.00119856172593
127,vehicle,21,0.00119856172593
128,EMS.,21,0.00119856172593
129,Was,21,0.00119856172593
130,during,21,0.00119856172593
131,another,21,0.00119856172593
132,history,21,0.00119856172593
133,did,21,0.00119856172593
134,fall,21,0.00119856172593
135,arrival.,21,0.00119856172593
136,initially,20,0.00114148735803
137,"LOC,",20,0.00114148735803
138,taken,20,0.00114148735803
139,side,20,0.00114148735803
140,injury.,20,0.00114148735803
141,playing,19,0.00108441299013
142,R,19,0.00108441299013
143,Mom,19,0.00108441299013
144,it,19,0.00108441299013
145,epi,19,0.00108441299013
146,injuries,18,0.00102733862222
147,multiple,18,0.00102733862222
148,otherwise,18,0.00102733862222
